2318	6416	1
88	84665	1
90	2339	1
2624	5371	1
6118	6774	1
375	23163	1
377	23647	1
377	27236	1
226	54464	1
351	10513	1
333	1600	1
7020	10370	1
2033	7020	1
338	4547	1
409	5900	1
1436	2885	1
2885	7916	1
4677	27257	1
6521	22950	1
580	602	1
153	10755	1
466	672	1
672	4436	1
580	672	1
672	2956	1
421	1013	1
775	5092	1
823	5664	1
825	7273	1
767	3708	1
1499	9223	1
1523	5925	1
1026	7251	1
4171	4998	1
4171	5000	1
4171	4174	1
4171	8317	1
4171	4999	1
4171	6118	1
4171	10926	1
4171	10270	1
4171	4171	1
4171	6117	1
4171	6119	1
4171	5001	1
4171	4172	1
993	7534	1
998	81704	1
998	9322	1
1017	1033	1
5932	5933	1
1059	9464	1
1213	9146	1
1277	3486	1
1277	7295	1
1386	4088	1
1386	4089	1
896	27335	1
891	10928	1
819	5479	1
1465	1465	1
1445	3643	1
1445	3480	1
1634	1956	1
405	6493	1
405	6492	1
405	266743	1
1839	7704	1
1647	5111	1
7155	11073	1
1814	2316	1
6635	27258	1
6635	25804	1
6635	23658	1
1958	2033	1
1387	1958	1
2035	4926	1
1915	54512	1
1915	5335	1
1936	3895	1
308	3791	1
2099	133522	1
2099	6597	1
2099	79039	1
2099	30836	1
2224	2260	1
2339	7040	1
355	7341	1
2512	51678	1
2243	7916	1
2316	3688	1
2260	10817	1
2566	11337	1
2810	2908	1
2908	7041	1
2908	11319	1
2645	5208	1
1801	3309	1
3838	6514	1
1616	6517	1
2898	6386	1
2898	9463	1
2897	9463	1
2897	6386	1
904	2896	1
2781	10287	1
2775	10287	1
2771	10287	1
2773	10287	1
3298	7329	1
3084	3984	1
2252	3339	1
7916	10459	1
7916	8974	1
2826	7916	1
708	7916	1
3646	7916	1
7916	23193	1
3178	7916	1
5684	7916	1
4670	7916	1
4123	7916	1
6747	7916	1
7916	11218	1
7916	9898	1
7916	10989	1
7916	29894	1
3275	7916	1
5859	7916	1
7916	8100	1
7917	54464	1
3064	29072	1
3064	9001	1
3064	23390	1
3064	25764	1
3064	9322	1
4209	10971	1
6929	9464	1
3399	6929	1
3480	3667	1
3480	7531	1
3480	8651	1
3667	5747	1
3667	5599	1
3643	3667	1
3552	4692	1
3717	10419	1
3717	8651	1
705	3856	1
867	3875	1
3875	10049	1
4000	4001	1
4000	6720	1
4000	26502	1
613	4301	1
596	149428	1
596	663	1
596	6606	1
596	7159	1
596	57142	1
596	8678	1
4066	4790	1
5788	8631	1
240	23406	1
2547	7409	1
2547	4689	1
2547	7520	1
2547	4361	1
2547	23468	1
51176	51588	1
4286	51176	1
4015	79947	1
4904	8683	1
4160	26033	1
4152	55729	1
4152	10036	1
4286	10401	1
4286	23598	1
4286	7329	1
4131	8125	1
4176	4998	1
4176	5925	1
4176	10926	1
4176	8317	1
4176	23595	1
4176	6117	1
2274	4176	1
4176	4999	1
4176	5001	1
4856	5441	1
4297	10450	1
4297	23645	1
4297	4297	1
4301	5909	1
4301	5818	1
4301	5216	1
4703	84665	1
4804	5567	1
4886	51690	1
6622	9627	1
2036	4926	1
1326	4790	1
2353	5970	1
5970	10401	1
5970	64320	1
5970	10848	1
2237	3178	1
4839	10445	1
1616	2113	1
207	5361	1
208	26060	1
2114	8558	1
2017	22941	1
2017	7456	1
1436	8651	1
6497	22938	1
4893	5910	1
4233	11146	1
2290	10765	1
2146	7409	1
5531	5966	1
2321	6464	1
4985	9737	1
867	4641	1
388	5147	1
387	5147	1
387	5910	1
5079	7091	1
5083	10765	1
5066	8997	1
5465	29982	1
5290	8503	1
335	5136	1
5226	51691	1
6403	9784	1
5310	5311	1
5311	5311	1
5311	7220	1
1739	3739	1
5217	29109	1
3364	5111	1
5787	260425	1
5573	5575	1
5575	8165	1
2241	7110	1
4751	5594	1
10399	22927	1
8439	10399	1
367	10399	1
3689	10399	1
5170	5590	1
5590	23286	1
2033	4094	1
391	398	1
5867	23607	1
5868	9135	1
5869	79890	1
5147	5906	1
5906	5910	1
889	5906	1
5863	5908	1
5147	5912	1
5898	149371	1
675	5888	1
5888	10635	1
5888	11144	1
4999	6117	1
4999	6118	1
5925	26959	1
5925	10131	1
5925	26574	1
5925	9984	1
5934	26959	1
6256	10902	1
6256	29982	1
286	6005	1
4005	5927	1
4005	4005	1
4005	6886	1
6230	26019	1
6176	6181	1
6181	6181	1
9267	10139	1
6628	8940	1
6626	6626	1
5174	6550	1
5174	6568	1
286	84033	1
2516	6662	1
2516	8204	1
1191	1191	1
1191	7048	1
6804	10497	1
939	10572	1
2280	7046	1
2280	7528	1
2286	10565	1
6886	54892	1
4689	7295	1
5573	8165	1
4647	5573	1
5573	11216	1
7273	8557	1
322	7024	1
4801	10153	1
6935	10589	1
6935	10524	1
1869	4692	1
25	472	1
25	4914	1
3265	5910	1
2242	84941	1
3845	5910	1
2048	6714	1
7046	7048	1
7134	7138	1
7128	8887	1
7157	51741	1
7157	8556	1
5708	7132	1
3791	25759	1
4921	6464	1
999	1500	1
999	79872	1
274	3672	1
3676	8726	1
2313	2623	1
2316	7428	1
7411	7428	1
7428	79960	1
3980	7515	1
7515	11284	1
7572	7727	1
7556	10155	1
7556	8805	1
4210	10466	1
4647	55591	1
7507	29935	1
5886	7508	1
2316	80790	1
367	2316	1
2316	7204	1
846	2316	1
2551	3054	1
186	57509	1
8237	10048	1
4841	6421	1
5170	5584	1
660	11099	1
705	7216	1
4089	4435	1
89	84665	1
8573	10716	1
3397	8573	1
1741	4036	1
1741	2066	1
11141	23413	1
5365	9826	1
9500	90249	1
8409	10128	1
6839	23468	1
7337	29978	1
9367	10244	1
1488	11279	1
54902	65109	1
26019	65109	1
10445	65109	1
7514	56000	1
990	28227	1
1678	8027	1
6457	30011	1
1756	1837	1
7454	9322	1
10243	23229	1
10084	10907	1
10084	51729	1
2623	23414	1
2157	5264	1
4068	6504	1
2332	7329	1
2332	8087	1
2332	26747	1
4478	7248	1
369	445	1
369	5605	1
369	8533	1
5422	5937	1
6103	57096	1
5147	6103	1
3358	8777	1
164	6855	1
6872	7343	1
367	5901	1
367	7182	1
367	8202	1
367	6047	1
367	8031	1
367	56924	1
367	10048	1
367	25898	1
367	9063	1
7337	9083	1
3642	10580	1
7528	10138	1
3930	11335	1
3930	23468	1
3831	23162	1
2066	6645	1
598	57099	1
598	664	1
598	6252	1
598	57142	1
581	597	1
19	8772	1
4036	9223	1
4036	57763	1
4036	55805	1
1601	4036	1
1740	4036	1
6884	6908	1
5782	9051	1
5782	6464	1
5782	5829	1
7286	24144	1
5144	9659	1
1387	3172	1
1387	4780	1
1387	6996	1
326	1387	1
162	164	1
1029	84687	1
3718	9220	1
3718	6776	1
1984	6125	1
166	51651	1
7088	55502	1
3170	7088	1
3572	7088	1
1855	2059	1
2194	2194	1
1063	8940	1
1063	1063	1
5976	7290	1
7290	27247	1
5586	5783	1
1825	8502	1
6310	8161	1
5824	9409	1
4682	4692	1
3172	9326	1
2617	3376	1
1432	27429	1
1432	11221	1
585	5108	1
2889	9564	1
5693	27257	1
6278	10048	1
2314	10293	1
1478	10923	1
580	1477	1
5892	7516	1
3398	9242	1
3398	6938	1
3398	6925	1
5193	5830	1
5194	5830	1
382	23647	1
4686	22916	1
4780	11243	1
4780	9451	1
3508	51691	1
1742	3761	1
2047	4690	1
4690	50488	1
3840	5965	1
3838	5965	1
1742	2066	1
2066	10413	1
1740	2066	1
6772	8554	1
6464	9261	1
6286	6286	1
1742	3759	1
1173	4063	1
7074	84687	1
3191	5725	1
3430	9111	1
6854	6854	1
5664	30818	1
7270	284119	1
1027	10762	1
659	3984	1
8087	26999	1
3636	10580	1
9612	23013	1
7704	9612	1
1028	3984	1
6252	7357	1
871	56893	1
4760	9001	1
1639	9001	1
9001	9146	1
1315	22820	1
1315	26958	1
1601	4646	1
4089	55802	1
2186	4150	1
7082	50848	1
1739	6868	1
10577	79947	1
5364	9826	1
597	666	1
572	597	1
6633	11157	1
6634	51690	1
6634	27258	1
6632	51691	1
1244	5174	1
4356	23705	1
7064	51678	1
5599	11221	1
1464	80852	1
5901	5902	1
990	4999	1
4999	10926	1
4999	8318	1
2185	7041	1
2475	29979	1
274	3675	1
274	8723	1
7534	9564	1
657	10262	1
5310	6000	1
3184	23658	1
1855	23072	1
7251	137492	1
2120	10524	1
4605	90441	1
6500	27101	1
2100	4085	1
5468	8031	1
573	3312	1
573	23645	1
2887	26058	1
2033	5629	1
6310	56893	1
6310	8125	1
6310	7874	1
2146	8726	1
5913	10657	1
7022	10370	1
5900	6016	1
5900	22808	1
5241	7337	1
5710	5886	1
5710	5887	1
2969	51691	1
5705	7068	1
7185	10293	1
7185	59269	1
6603	54464	1
8065	9616	1
9869	10155	1
5191	5264	1
5192	5193	1
6670	8859	1
4175	4175	1
5993	5994	1
7186	59269	1
7186	10293	1
4998	8317	1
599	10018	1
5753	55620	1
5689	118460	1
5689	167227	1
3603	4659	1
6015	8535	1
5879	81704	1
5879	5910	1
5879	23647	1
5880	8454	1
6888	51691	1
7442	143425	1
6867	8089	1
1207	10419	1
6494	64326	1
3835	6477	1
6477	23089	1
6477	27101	1
6478	23089	1
1406	6314	1
4734	7322	1
8458	10589	1
3611	80895	1
3611	3987	1
1785	50944	1
1785	22941	1
642	7329	1
5528	9464	1
9464	10987	1
1080	57120	1
7884	90459	1
6453	9522	1
9266	26034	1
190	8204	1
904	10614	1
5999	9276	1
4215	5607	1
8773	23557	1
406	266743	1
7514	8498	1
2801	26003	1
4116	9939	1
9223	9311	1
3556	54472	1
2274	6421	1
5511	8726	1
1973	26019	1
5147	27289	1
390	394	1
3182	8626	1
8648	9971	1
4172	4174	1
4172	8318	1
4172	10926	1
4172	5001	1
4172	5000	1
4174	8317	1
2033	10370	1
321	22883	1
2533	8631	1
5564	5571	1
5564	51422	1
5565	5571	1
5565	51422	1
5571	51422	1
3842	84220	1
1788	7329	1
7068	10902	1
6047	23598	1
988	8458	1
5493	23254	1
6294	9667	1
5602	23162	1
5600	8841	1
4092	51588	1
7205	9170	1
9355	10370	1
1876	23429	1
5427	10284	1
694	3276	1
7098	54476	1
7099	54476	1
7100	54476	1
10006	55740	1
1317	1317	1
6432	8446	1
8446	8683	1
4088	4739	1
8454	9616	1
5411	23524	1
572	4170	1
1616	10445	1
4597	9044	1
2175	6597	1
1108	54464	1
8874	22941	1
8658	23048	1
332	9212	1
8717	8718	1
8761	54464	1
3675	5877	1
8737	11035	1
8735	51690	1
8915	10892	1
8915	84270	1
1174	8906	1
